continent,location,total_deaths,date,total_deaths_per_million,stringency_index,population_density,median_age,gdp_per_capita,aged_65_older,life_expectancy,human_development_index,total_cases,stringency_index,Entity,Code,"Life expectancy at birth, total (years)","Total population (Gapminder, HYDE & UN)",log_life,log_death,log_life_curr
Europe,Finland,351.0,2020-10-20,63.349,,18.136,42.8,40585.721,21.228,81.91,0.92,13555.0,,Finland,FIN,69.26328159645236,3892700.6078431373,4.25224935221512,5.863631175598097,4.417755682128127
Oceania,Fiji,2.0,2020-10-20,2.231,,49.562,28.6,8702.975,6.224,67.44,0.741,32.0,,Fiji,FJI,57.914727272727276,284316.17647058825,4.0760910979893055,1.0986122886681098,4.225957449023992
South America,Falkland Islands,,2020-10-20,,,,,,,81.44,,13.0,,Falkland Islands,FLK,,2000.0,,,4.412070756022258
Europe,France,33623.0,2020-10-20,515.109,,122.57799999999999,42.0,38605.671,19.718,82.66,0.9009999999999999,910277.0,,France,FRA,70.80354767184036,42977566.5882353,4.273933885304835,10.422995376684952,4.426760966014053
Europe,Faeroe Islands,,2020-10-20,,,35.308,,,,80.67,,485.0,,Faeroe Islands,FRO,,34857.142857142855,,,4.402686737370185
Africa,Gabon,54.0,2020-10-20,24.261999999999997,,7.859,23.1,16562.413,4.45,66.47,0.7020000000000001,8884.0,,Gabon,GAB,42.69399999999999,456890.45098039217,3.777210792903901,4.007333185232471,4.211683054639334
Europe,United Kingdom,43726.0,2020-10-20,644.109,,272.89799999999997,40.8,39753.244,18.517,81.32,0.922,741212.0,,United Kingdom,GBR,71.46585365853659,49349921.88235294,4.283115466892633,10.685721039263841,4.410614091525794
Asia,Georgia,143.0,2020-10-20,35.847,,65.032,38.7,9745.079,14.864,73.77,0.78,18663.0,,Georgia,GEO,65.63381818181819,3470835.5098039214,4.199212229177228,4.969813299576001,4.314416735011824
Africa,Ghana,310.0,2020-10-20,9.977,,126.719,21.1,4227.63,3.385,64.07,0.5920000000000001,47372.0,,Ghana,GHA,47.727,4839008.156862745,3.8862332912418425,5.739792912179234,4.175463613506893
Europe,Gibraltar,,2020-10-20,,,3457.1,,,,79.93,,577.0,,Gibraltar,GIB,,24428.571428571428,,,4.393584583507611
Africa,Guinea,70.0,2020-10-20,5.33,,51.755,19.0,1998.9260000000002,3.135,61.6,0.45899999999999996,11518.0,,Guinea,GIN,35.7490909090909,3041326.588235294,3.6041134881852823,4.2626798770413155,4.136765278106052
Africa,Gambia,118.0,2020-10-20,48.828,,207.56599999999997,17.5,1561.767,2.339,62.05,0.46,3655.0,,Gambia,GMB,34.43336363636364,295359.96078431373,3.567653851891947,4.77912349311153,4.143928062410929
Africa,Guinea-Bissau,41.0,2020-10-20,20.833000000000002,,66.191,19.4,1548.675,3.002,58.32,0.455,2389.0,,Guinea-Bissau,GNB,39.62745454545455,536898.5294117647,3.704444058405132,3.7376696182833684,4.082946517269732
Africa,Equatorial Guinea,83.0,2020-10-20,59.16,,45.193999999999996,22.4,22604.873,2.846,58.74,0.591,5070.0,,Equatorial Guinea,GNQ,38.24145454545454,202957.74509803922,3.66973370193714,4.430816798843313,4.090001812787964
Europe,Greece,520.0,2020-10-20,49.888999999999996,,83.479,45.3,24574.382,20.396,82.24,0.87,25802.0,,Greece,GRC,69.5948514412417,7333659.098039215,4.2569572160785345,6.255750041753367,4.421728001525434
North America,Grenada,,2020-10-20,,,317.132,29.4,13593.877,7.303999999999999,72.4,0.772,27.0,,Grenada,GRD,62.04645454545453,77174.82352941176,4.143871828402459,,4.29592393562047
North America,Greenland,,2020-10-20,,,0.13699999999999998,,,,71.7,,16.0,,Greenland,GRL,,32380.95238095238,,,4.286341384539473
North America,Guatemala,3541.0,2020-10-20,197.649,,157.834,22.9,7423.808000000001,4.694,74.3,0.65,101599.0,,Guatemala,GTM,49.508272727272725,3030846.254901961,3.922137139246514,8.17244681834278,4.321480134805848
Oceania,Guam,66.0,2020-10-20,391.035,,304.128,31.4,,9.551,80.07,,3756.0,,Guam,GUM,63.391272727272735,69047.61904761905,4.164978107269841,4.204692619390966,4.395312978999615
South America,Guyana,111.0,2020-10-20,141.121,,3.952,26.3,7435.047,5.305,69.91,0.654,3765.0,,Guyana,GUY,61.102090909090904,445618.1568627451,4.12877965840628,4.718498871295094,4.261411467315905
North America,Honduras,2576.0,2020-10-20,260.08099999999996,,82.805,24.9,4541.795,4.652,75.27,0.617,89381.0,,Honduras,HND,49.47981818181818,1498893.7843137255,3.9215736164399853,7.854381210652365,4.3342796761761475
Europe,Croatia,374.0,2020-10-20,91.102,,73.726,44.0,22669.797000000002,19.724,78.49,0.831,25973.0,,Croatia,HRV,66.471733924612,3701590.862745098,4.211708753503009,5.926926025970411,4.375631227585021
